epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,978.83,0.96157,1.21822,1.3403,0.86096,0.74382,0.85386,0.71249,0.7031,0.8664,1.11302,0.004324,0.004324,0.004324
45,995.075,0.96032,1.21303,1.34036,0.81239,0.8107,0.8628,0.71681,0.70796,0.81557,1.10543,0.004192,0.004192,0.004192
46,1012.59,0.95772,1.19352,1.33385,0.78377,0.76312,0.82612,0.68663,0.70869,0.87399,1.10485,0.00406,0.00406,0.00406
47,1029.39,0.95896,1.19273,1.32986,0.8577,0.76313,0.85548,0.71486,0.69139,0.87834,1.09268,0.003928,0.003928,0.003928
48,1046.04,0.9667,1.18589,1.34431,0.80825,0.80188,0.86297,0.71631,0.70784,0.83683,1.10489,0.003796,0.003796,0.003796
49,1063.03,0.94613,1.16359,1.32179,0.83509,0.80676,0.86004,0.69595,0.73756,0.84539,1.12767,0.003664,0.003664,0.003664
50,1079.97,0.93058,1.16621,1.32485,0.84151,0.80748,0.87438,0.73201,0.68707,0.78283,1.07742,0.003532,0.003532,0.003532
51,1097.38,0.91979,1.12003,1.30923,0.86285,0.76187,0.8532,0.71461,0.68239,0.83652,1.08724,0.0034,0.0034,0.0034
52,1114.27,0.92211,1.10736,1.30422,0.88224,0.80331,0.87283,0.73607,0.67416,0.81138,1.07923,0.003268,0.003268,0.003268
53,1131.92,0.91037,1.11764,1.30286,0.87961,0.76052,0.86607,0.7213,0.69216,0.81184,1.09296,0.003136,0.003136,0.003136
54,1148.78,0.88799,1.07239,1.28695,0.88223,0.79327,0.87758,0.73957,0.67145,0.77482,1.0753,0.003004,0.003004,0.003004
55,1166.13,0.90024,1.06586,1.29416,0.8687,0.77938,0.87103,0.73646,0.66966,0.82607,1.07823,0.002872,0.002872,0.002872
56,1182.88,0.89467,1.06328,1.28351,0.82254,0.82453,0.88081,0.73979,0.66915,0.73993,1.06421,0.00274,0.00274,0.00274
57,1200.28,0.88093,1.0474,1.28609,0.85631,0.79493,0.87999,0.73553,0.66404,0.74859,1.0569,0.002608,0.002608,0.002608
58,1216.84,0.86404,1.0272,1.27006,0.87139,0.80018,0.88206,0.75136,0.64426,0.75473,1.05129,0.002476,0.002476,0.002476
59,1234.19,0.87549,1.04461,1.27858,0.85292,0.8381,0.88161,0.74954,0.65265,0.756,1.0609,0.002344,0.002344,0.002344
60,1250.85,0.85772,1.0084,1.26236,0.86293,0.83247,0.88065,0.74766,0.66692,0.76094,1.07237,0.002212,0.002212,0.002212
61,1267.4,0.85182,0.98007,1.25832,0.87996,0.79004,0.88769,0.75717,0.64183,0.70692,1.04872,0.00208,0.00208,0.00208
62,1284.86,0.84122,0.9834,1.25809,0.85547,0.82108,0.87153,0.74365,0.6531,0.77865,1.05547,0.001948,0.001948,0.001948
