epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,724.624,0.98151,1.27978,1.36209,0.67499,0.549,0.54515,0.44497,0.78357,1.08617,1.23502,0.004324,0.004324,0.004324
45,740.598,0.96901,1.2562,1.35274,0.74065,0.52222,0.50997,0.42065,0.78491,0.98139,1.2132,0.004192,0.004192,0.004192
46,756.524,0.95093,1.24526,1.33718,0.87964,0.42685,0.5674,0.4251,0.82489,1.11268,1.25562,0.00406,0.00406,0.00406
47,772.506,0.9418,1.23965,1.34551,0.82098,0.51936,0.54731,0.44957,0.80613,1.00549,1.26756,0.003928,0.003928,0.003928
48,788.543,0.93926,1.20762,1.3348,0.90557,0.44667,0.56029,0.45861,0.81887,0.99458,1.24399,0.003796,0.003796,0.003796
49,804.517,0.94302,1.21993,1.34022,0.84153,0.4512,0.55758,0.46501,0.79189,1.04736,1.22672,0.003664,0.003664,0.003664
50,820.679,0.92673,1.17891,1.33222,0.7688,0.52884,0.5709,0.46031,0.80597,1.04389,1.23926,0.003532,0.003532,0.003532
51,836.786,0.93047,1.15432,1.32373,0.64699,0.60824,0.58124,0.49868,0.78477,0.9988,1.22942,0.0034,0.0034,0.0034
52,853.156,0.91893,1.15562,1.31375,0.81078,0.47216,0.50026,0.41806,0.77343,1.1107,1.22522,0.003268,0.003268,0.003268
53,869.311,0.89192,1.13628,1.29826,0.91783,0.45208,0.49887,0.42357,0.76726,0.9608,1.22232,0.003136,0.003136,0.003136
54,885.446,0.88524,1.10661,1.30593,0.92373,0.4875,0.6196,0.51502,0.81801,1.0183,1.24046,0.003004,0.003004,0.003004
55,902.074,0.8836,1.10393,1.29182,0.85502,0.49899,0.55472,0.46626,0.79186,1.0097,1.23159,0.002872,0.002872,0.002872
56,918.192,0.8894,1.10446,1.30061,0.53805,0.56113,0.57151,0.48185,0.79642,0.90809,1.2381,0.00274,0.00274,0.00274
57,934.597,0.88093,1.07846,1.28645,0.84709,0.51482,0.62071,0.5248,0.72302,0.85333,1.16638,0.002608,0.002608,0.002608
58,951.388,0.86974,1.05736,1.28506,0.74542,0.54395,0.57103,0.47912,0.74003,0.91523,1.18911,0.002476,0.002476,0.002476
59,967.539,0.87615,1.06213,1.28519,0.79059,0.52693,0.58472,0.49277,0.77591,0.87711,1.22752,0.002344,0.002344,0.002344
60,983.808,0.8467,1.02412,1.26835,0.60801,0.53887,0.55734,0.472,0.73293,0.95411,1.18243,0.002212,0.002212,0.002212
61,1000.05,0.84431,1.01798,1.27258,0.62084,0.6208,0.61518,0.52211,0.81274,0.93165,1.26624,0.00208,0.00208,0.00208
62,1016.29,0.84792,1.0198,1.27006,0.75912,0.57804,0.61591,0.52777,0.75585,0.92937,1.21097,0.001948,0.001948,0.001948
63,1032.94,0.84369,1.00252,1.26084,0.9142,0.51751,0.56921,0.47945,0.73487,0.86118,1.1879,0.001816,0.001816,0.001816
64,1049.23,0.83111,0.97291,1.25229,0.92876,0.52307,0.62576,0.52926,0.74412,0.88389,1.19258,0.001684,0.001684,0.001684
65,1066.13,0.82156,0.97662,1.24911,0.7263,0.61245,0.62071,0.52858,0.73007,0.88215,1.18587,0.001552,0.001552,0.001552
66,1083.8,0.80293,0.85103,1.27004,0.90455,0.51812,0.62057,0.52294,0.74511,0.93394,1.22592,0.00142,0.00142,0.00142
67,1099.95,0.76596,0.78522,1.23977,0.75961,0.58938,0.62725,0.53056,0.72831,0.8805,1.17691,0.001288,0.001288,0.001288
68,1116.91,0.75166,0.75651,1.22958,0.67739,0.61827,0.62688,0.53224,0.71331,0.8802,1.16911,0.001156,0.001156,0.001156
69,1133.77,0.73531,0.72385,1.21618,0.7054,0.61569,0.63079,0.53637,0.74029,0.86087,1.19551,0.001024,0.001024,0.001024
70,1150.5,0.71324,0.71701,1.20229,0.89887,0.59328,0.63131,0.53943,0.71697,0.86762,1.17662,0.000892,0.000892,0.000892
71,1167.24,0.71974,0.71974,1.20832,0.83145,0.60262,0.63108,0.53949,0.6892,0.85268,1.1546,0.00076,0.00076,0.00076
72,1184.01,0.69535,0.67667,1.1801,0.83254,0.59739,0.6331,0.54223,0.72168,0.84881,1.18306,0.000628,0.000628,0.000628
73,1200.75,0.6916,0.67682,1.18381,0.70407,0.59772,0.62816,0.53876,0.70991,0.84755,1.17845,0.000496,0.000496,0.000496
74,1216.88,0.69531,0.66102,1.184,0.76404,0.60157,0.62835,0.54058,0.70645,0.87901,1.17232,0.000364,0.000364,0.000364
75,1233.07,0.67224,0.64087,1.17081,0.76097,0.60239,0.63037,0.541,0.6866,0.84426,1.15152,0.000232,0.000232,0.000232
